date,date,last,open,high,low,vol,var_%,close
2021-07-15,2021-07-15,"31.840,5",32820.5,33157.0,31175.8,76.95,-2.99,31840.5
2021-07-16,2021-07-16,"31.394,0",31842.3,32239.8,31062.2,70.48,-1.4,31394.0
2021-07-17,2021-07-17,"31.518,6",31384.4,31914.8,31207.8,58.06,0.4,31518.6
2021-07-18,2021-07-18,"31.785,4",31517.9,32408.2,31220.6,57.01,0.85,31785.4
2021-07-19,2021-07-19,"30.837,2",31782.9,31887.0,30478.2,77.48,-2.98,30837.2
2021-07-20,2021-07-20,"29.793,8",30835.4,31040.8,29310.2,97.46,-3.38,29793.8
2021-07-21,2021-07-21,"32.131,4",29794.7,32794.6,29519.3,118.34,7.85,32131.4
2021-07-22,2021-07-22,"32.298,9",32131.7,32585.4,31729.4,64.87,0.52,32298.9
2021-07-23,2021-07-23,"33.603,3",32297.9,33605.6,32041.1,66.15,4.04,33603.3
2021-07-24,2021-07-24,"33.824,8",33600.5,33955.0,33412.9,67.14,0.66,33824.8
2021-07-25,2021-07-25,"35.391,1",34392.5,35391.1,33881.3,65.1,4.63,35391.1
2021-07-26,2021-07-26,"37.276,6",35392.3,40522.9,35236.7,177.63,5.33,37276.6
2021-07-27,2021-07-27,"39.452,0",37294.3,39455.9,36427.4,100.24,5.84,39452.0
2021-07-28,2021-07-28,"40.003,2",39450.4,40862.2,38883.8,148.92,1.4,40003.2
2021-07-29,2021-07-29,"40.001,4",40009.0,40630.7,39340.8,75.3,-0.0,40001.4
2021-07-30,2021-07-30,"42.203,4",40001.1,42264.4,38358.4,98.45,5.5,42203.4
2021-07-31,2021-07-31,"41.553,7",42201.4,42285.3,41066.4,44.65,-1.54,41553.7
2021-08-01,2021-08-01,"39.878,3",41510.0,42565.0,39556.5,80.33,-4.03,39878.3
2021-08-02,2021-08-02,"39.168,4",39869.8,40449.0,38692.5,74.81,-1.78,39168.4
2021-08-03,2021-08-03,"38.130,3",39167.4,39766.6,37688.2,0.26,-2.65,38130.3
2021-08-04,2021-08-04,"39.736,9",38188.4,39956.5,37556.0,79.22,4.21,39736.9
2021-08-05,2021-08-05,"40.867,2",39734.4,41366.3,37365.4,130.6,2.84,40867.2
2021-08-06,2021-08-06,"42.795,4",40868.4,43253.4,39905.4,111.93,4.72,42795.4
2021-08-07,2021-08-07,"44.614,2",42784.7,44697.3,42611.0,112.84,4.25,44614.2
2021-08-08,2021-08-08,"43.792,8",44584.9,45284.1,43314.4,105.25,-1.84,43792.8
2021-08-09,2021-08-09,"46.284,3",43794.9,46460.7,42824.1,117.08,5.69,46284.3
2021-08-10,2021-08-10,"45.593,8",46281.8,46663.4,44681.2,80.55,-1.49,45593.8
2021-08-11,2021-08-11,"45.564,3",45593.2,46736.5,45367.9,75.43,-0.06,45564.3
2021-08-12,2021-08-12,"44.403,4",45562.3,46213.8,43814.7,81.07,-2.55,44403.4
2021-08-13,2021-08-13,"47.809,1",44404.0,47836.0,44242.4,75.27,7.67,47809.1
2021-08-14,2021-08-14,"47.081,5",47809.6,48090.9,46117.2,64.29,-1.52,47081.5
2021-08-15,2021-08-15,"46.991,3",47082.6,47344.1,45564.1,58.11,-0.19,46991.3
2021-08-16,2021-08-16,"45.996,3",46991.6,48002.4,45672.1,2.41,-2.12,45996.3
2021-08-17,2021-08-17,"44.691,6",45907.5,47140.6,44441.3,84.14,-2.84,44691.6
2021-08-18,2021-08-18,"44.723,8",44691.1,46004.9,44230.0,22.36,0.07,44723.8
2021-08-19,2021-08-19,"46.755,9",44725.9,47012.3,43986.7,77.92,4.54,46755.9
2021-08-20,2021-08-20,"49.324,0",46756.7,49343.3,46646.8,83.19,5.49,49324.0
2021-08-21,2021-08-21,"48.875,8",49330.0,49719.1,48293.5,18.2,-0.91,48875.8
2021-08-22,2021-08-22,"49.254,5",48870.4,49480.3,48151.0,49.32,0.77,49254.5
2021-08-23,2021-08-23,"49.539,7",49255.4,50498.8,49038.6,75.37,0.58,49539.7
2021-08-24,2021-08-24,"47.714,7",49532.5,49847.4,47623.6,74.26,-3.68,47714.7
2021-08-25,2021-08-25,"48.994,5",47707.4,49230.2,47163.3,63.54,2.68,48994.5
2021-08-26,2021-08-26,"46.831,6",48994.4,49347.8,46360.4,73.79,-4.41,46831.6
2021-08-27,2021-08-27,"49.064,3",46830.2,49142.0,46371.5,62.47,4.77,49064.3
2021-08-28,2021-08-28,"48.897,1",49062.8,49289.4,48428.5,36.73,-0.34,48897.1
2021-08-29,2021-08-29,"48.777,4",48899.7,49621.7,47870.1,47.62,-0.24,48777.4
2021-08-30,2021-08-30,"46.992,7",48777.1,48886.0,46876.9,61.68,-3.66,46992.7
2021-08-31,2021-08-31,"47.130,4",46989.1,48217.0,46709.3,71.48,0.29,47130.4
2021-09-01,2021-09-01,"48.819,4",47129.2,49121.0,46533.1,74.38,3.58,48819.4
2021-09-02,2021-09-02,"49.274,3",48817.8,50355.3,48612.9,80.21,0.93,49274.3
2021-09-03,2021-09-03,"49.999,0",49269.5,51008.8,48377.3,88.08,1.47,49999.0
2021-09-04,2021-09-04,"49.918,4",49999.3,50534.6,49461.4,48.14,-0.16,49918.4
2021-09-05,2021-09-05,"51.768,6",49918.7,51878.2,49492.4,57.3,3.71,51768.6
2021-09-06,2021-09-06,"52.672,1",51769.4,52726.2,51002.8,69.46,1.75,52672.1
2021-09-07,2021-09-07,"46.779,6",52674.2,52885.3,43072.4,187.56,-11.19,46779.6
2021-09-08,2021-09-08,"46.061,4",46774.1,47316.9,44493.7,100.48,-1.54,46061.4
2021-09-09,2021-09-09,"46.385,6",46057.6,47305.7,45609.0,73.63,0.7,46385.6
2021-09-10,2021-09-10,"44.842,8",46385.9,47021.6,44283.6,75.62,-3.33,44842.8
2021-09-11,2021-09-11,"45.161,9",44844.9,45975.6,44766.6,41.58,0.71,45161.9
2021-09-12,2021-09-12,"46.062,3",45162.6,46386.4,44755.2,44.52,1.99,46062.3
2021-09-13,2021-09-13,"44.949,5",46060.8,46807.7,43463.2,96.15,-2.42,44949.5
